#lemma_id,#writing_and_accounting_related_ranked,#senses,#notes,#spellings
bisaŋdubak [ARCHIVIST],xxxxx,archivist,,"bisaŋ-dub-ba, bisaŋ-dub, bisaŋ-dub-ba-a, pi-ša3-ad-ba-ar-ra, ša₁₃-dub-ba-a"
da [BOARD],xxxxx,"side board (of a chariot), writing board",,"<sup>ŋeš</sup>da, <sup>ŋeš</sup>da-da"
duʾa [AXLE],xxxxx,"axle, stick",,"<sup>ŋeš</sup>du3-a, du3-a, <sup>ŋeš</sup>du3<sup>du</sup>-a, <sup>ŋeš</sup>du3<sup>du</sup>-a"
dub [TABLET],xxxxx,tablet,,"dub, <sup>ŋeš</sup>dub, ta-ba, <sup>im</sup>dub"
dub bala [GO OVER AN ACCOUNT],xxxxx,to go over an account,,dub bala
dub daŋal [TABLET],xxxxx,a type of tablet,,dub daŋal
dub sar [WRITER],xxxxx,writer of tablets on a specific matter,,"dub sar, dub sar-sar"
dubŋal [SCRIBE],xxxxx,a scribe or scribe's assistant,,dub-ŋal2
dubsar [SCRIBE],xxxxx,scribe,,"dub-sar, du-ub-sa-ar, dub-sar-dub-sar, dub3-sa, <sup>lu2</sup>dub-sar"
dubsar gud u [OFFICIAL],xxxxx,an official,,dub-sar gud u
dubsar gudapin [OFFICIAL],xxxxx,an official,,dub-sar gud-apin
dubsar zidak [OFFICIAL],xxxxx,an official associated with flour production and processing,,dub-sar zid2
dubsargal [SCRIBE],xxxxx,senior scribe,,"dub-sar-gal, dub-sar"
dubsarmah [OFFICIAL],xxxxx,an official,,"dub-sar-maḫ, dub-sar-maḫ2"
dubsartur [SCRIBE],xxxxx,junior scribe,,"dub-sar-tur, dub-sar-tur-tur"
dubsarzaga [OFFICIAL],xxxxx,registry official,,dub-sar-zag-ga
dubzuzu [TEACHER],xxxxx,teacher,,"dub-zu-zu, dub-su-su"
eduba [STOREHOUSE],xxxxx,"storehouse,  magazine",,"e2-dub, e2-dub-ba"
edubbaʾa [SCRIBAL SCHOOL],xxxxx,scribal school,,"e2-dub-ba-a, e2-dub-ba"
ekišibak [STOREROOM],xxxxx,storeroom for sealed commodities,,"e2-kišib3-ba, e2-kišib3, e2-kišib-ba, e2-kišib3-ba-ka, e2-kišib3-ba-ke4, e2-kišib, e2-<sup>na4</sup>kišib-ba"
eš [ROPE],xxxxx,"rope,  thong,  string, a unit of measurement",,"eš2, <sup>ŋeš</sup>eš2, eš, eše3, eš7"
eš rah [MEASURE],xxxxx,to measure,,"eš2 ra-ra, eš2 raḫ2"
ešgana [LINE],xxxxx,measuring line,,eš2-gana2
ešla [TOOL],xxxxx,"a stick?, a tool",,<sup>ŋeš</sup>eš2-la2
etum [DOCUMENT],xxxxx,"a document,  perhaps a bulla?",,e2-tum
ge [BLOW],xxxxx,"blow, wound, stroke of the stylus, (piece of) writing,  copy,  exemplar,  written",,"ge15, ge14, ge23, ge3, <sup>ge</sup>-<sup>e</sup>ge14, ge22, gi4, <sup>uzu</sup> <sup>gi</sup>-<sup>e</sup>ge14, <sup>uzu</sup>ge14, <sup>ge</sup>-<sup>e</sup>ge14, <sup>uzu</sup> <sup>gi</sup>-<sup>e</sup>ge14"
gidubak [STYLUS],xxxxx,stylus,,"gi-dub-ba, gi-dub-ba-a, gi-dub, gi4-dub-ba-a, <sup>ŋeš</sup>gi-dub"
gigag [REED],xxxxx,"pointed reed, stylus",,gi-gag
gug [SEAL],xxxxx,to seal,,"gug6, gug"
gušum [WEDGE],xxxxx,(cuneiform) wedge,,"gu-šum2, gu3-šum2, gu2-šum2"
